snomedctconceptid,snomedctdescriptionid,active,effectivetime,typeid,snomedctterm,cough,dyspnoea,sputum
1009221000000105,2535061000000116,1,01apr2016,Fully specified name,Helicobacter breath test (observable entity),,1,
1009221000000105,2561821000000113,1,01apr2016,Synonym,Helicobacter breath test,,1,
1023001,539762017,1,31jul2017,Fully specified name,Apnea (finding),,1,
1023001,247857013,1,31jul2017,Synonym,Apneic,,1,
1023001,247858015,1,31jul2017,Synonym,Has stopped breathing,,1,
1023001,247859011,1,31jul2017,Synonym,Not breathing,,1,
1023001,2797015,1,31jul2017,Synonym,Apnea,,1,
1023001,2800018,1,31jul2017,Synonym,Apnoeic,,1,
1023001,2801019,1,31jul2017,Synonym,Apnoea,,1,
1023001,2798013,0,31jan2002,Synonym,"Apnea, NOS",,1,
1023001,2799017,0,31jan2002,Synonym,"Apnoea, NOS",,1,
1038001000000107,2619861000000111,1,01apr2016,Fully specified name,howRthey rating score - pain and/or distress (observable entity),,1,
1038001000000107,2619871000000116,1,01apr2016,Synonym,howRthey rating score - pain and/or distress,,1,
104173009,559511013,1,31jul2017,Fully specified name,Microbial culture of sputum (procedure),,,1
104173009,168044010,1,31jul2017,Synonym,Microbial culture of sputum,,,1
1060991000000107,2667021000000119,1,01oct2016,Fully specified name,Medical Research Council Breathlessness Scale grade 5a (finding),,1,
1060991000000107,2667011000000113,1,01oct2016,Synonym,MRC (Medical Research Council) Breathlessness Scale grade 5a,,1,
1061001000000106,2667041000000114,1,01oct2016,Fully specified name,Medical Research Council Breathlessness Scale grade 5b (finding),,1,
1061001000000106,2667031000000117,1,01oct2016,Synonym,MRC (Medical Research Council) Breathlessness Scale grade 5b,,1,
11833005,698598016,1,31jul2017,Fully specified name,Dry cough (finding),1,,
11833005,3516867016,1,31jan2018,Synonym,Non-productive cough,1,,
11833005,20419011,1,31jul2017,Synonym,Dry cough,1,,
11833005,20420017,1,31jul2017,Synonym,Unproductive cough,1,,
119334006,706779013,1,31jul2017,Fully specified name,Sputum specimen (specimen),,,1
119334006,1220451015,1,31jul2017,Synonym,Sputum sample,,,1
119334006,180853012,1,31jul2017,Synonym,Sputum specimen,,,1
